SKU,Retail Price,Total Retail Value,Title,Quantity,Cost per Item,Total Cost,Validity Status,URL
"SB #: 177268, Bl #: 177188, Warehouse: Pittston, Category:APPLIANCES, Pallet Qty: 7",$399.00,$399.00,Glacier Bay Dolancourt Tight Radius 33 in. Drop-In Single Bowl 18G Stainless Steel Workstation Kitchen Sink with Spring Neck Faucet,1,$0.00,$0.00,Invalid,"https://www.homedepot.com/s/SB #: 177268, Bl #: 177188, Warehouse: Pittston, Category:APPLIANCES, Pallet Qty: 7"
1005336128,$79.99,$79.99,"ARIA 5 Qt. Ceramic Air Fryer, Toxin-Free and 8-in-1 Cooking Presets, Black",1,$10.18,$10.18,Valid,https://www.homedepot.com/s/1005336128
1010667270,$23.60,$23.60,VEVOR Food Processor Mini Electric Chopper 400-Watt 2-Speeds Silver Meat Grinder Stainless Steel Meat Blender 2.5-Cup,1,$3.04,$3.04,Valid,https://www.homedepot.com/s/1010667270
1004816424,$79.99,$79.99,"NINJA 12-Cup Stainless Steel Coffee Brewer with Permanent Filter, 2 Brew Styles, Adjustable Warming Plate and 24hr Delay Brew",1,$13.07,$13.07,Valid,https://www.homedepot.com/s/1004816424
1008824564,$69.99,$69.99,FILTER-MONSTER Replacement Compatible with Bryant/Carrier Infinity 24\,1,$7.60,$7.60,Valid,https://www.homedepot.com/s/1008824564
1002831011,$128.00,$128.00,"Honeywell HEPA Air Purifier, Large Room (310 sq. ft.) Black",1,$26.30,$26.30,Valid,https://www.homedepot.com/s/1002831011
1002726566,$34.99,$34.99,BLACK+DECKER Vitessa Advanced Steam Iron with Dual-Position,1,$4.41,$4.41,Valid,https://www.homedepot.com/s/1002726566
1011302016,$479.99,$479.99,"VEVOR Industrial Sewing Machine, 5000 s.p.m Heavy-Duty Lockstitch Sewing Machine with 550-Watt Servo Motor and Table Stand",1,$65.06,$65.06,Valid,https://www.homedepot.com/s/1011302016
1007489505,$629.00,$629.00,"MUELLER 18 in. Black Stainless Steel Front Control Digital Built-In Dishwasher with 3-Stage Filtration, 6 Smart Wash Programs",1,$65.66,$65.66,Valid,https://www.homedepot.com/s/1007489505
1011124028,$259.00,$259.00,"GE 50-Pints for Wet Rooms Up To 4500 sq. ft. Residential Dehumidifier with Bucket in Gray Wi-Fi, ENERGY STAR",1,$28.27,$28.27,Valid,https://www.homedepot.com/s/1011124028
1003453313,$79.99,$79.99,NINJA Professional Blender 72 oz. 3-Speed Black 1000-Watt Blender,1,$13.07,$13.07,Valid,https://www.homedepot.com/s/1003453313
1005959440,$169.00,$169.00,"GE 22 pt. Dehumidifier with Smart Dry for Bedroom, Basement or Damp Rooms up to 1500 sq. ft. in White, ENERGY STAR",1,$17.63,$17.63,Valid,https://www.homedepot.com/s/1005959440
1009514454,$64.99,$64.99,Rowenta Access Steam Cordreel Steam Iron with Stainless Steel Soleplate,1,$9.58,$9.58,Valid,https://www.homedepot.com/s/1009514454
1005959455,$219.00,$219.00,"GE 35 pt. Dehumidifier with Smart Dry for Bedroom, Basement or Very Damp Rooms up to 3000 sq. ft. in White, ENERGY STAR",1,$20.06,$20.06,Valid,https://www.homedepot.com/s/1005959455
1004313567,$17.45,$17.45,Premium LEVELLA 6-Cup Black Rice Cooker and Rice Steamer with Non-Stick Cooking Pot,1,$1.98,$1.98,Valid,https://www.homedepot.com/s/1004313567
1010580212,$139.99,$139.99,"LivePure 3-in. 1-Clean Heat True HEPA Air Purifier/Heater, up to 400 sq. ft. Black",1,$25.54,$25.54,Valid,https://www.homedepot.com/s/1010580212
1011638443,$508.88,$508.88,"JEREMY CASS 2.1 cu.ft. Top Load Washer in Grey with Drain Pump, Glass Top Lid and Full-Automatic",1,$33.44,$33.44,Valid,https://www.homedepot.com/s/1011638443
1004835747,$79.99,$79.99,Nostalgia Retro Series 12-Slice Aqua Air Fry Toaster Oven with Built-in Timer,1,$12.77,$12.77,Valid,https://www.homedepot.com/s/1004835747
1011211642,$329.99,$329.99,"Shark NeverChange HEPA Filter Whole Home Tower Air Purifier 1400 sq.ft w/ Odor Neutralization & Clean Sense Technology, White",1,$42.10,$42.10,Valid,https://www.homedepot.com/s/1011211642
1011651049,$49.99,$49.99,"HADEN Starbeck 1.5 l 10 Cup Drip Coffee Maker with Textured PP/ABS Body and Glass Coffee Carafe, Black",1,$4.86,$4.86,Valid,https://www.homedepot.com/s/1011651049
1011124029,$189.00,$189.00,"GE 25-Pints for Damp Rooms Up to 1500 sq. ft. Residential Dehumidifier with Bucket in White, ENERGY STAR",1,$20.06,$20.06,Valid,https://www.homedepot.com/s/1011124029
1005759067,$99.99,$99.99,HomeCraft 100-Cup Stainless Steel Coffee Urn with 2-Spigots,1,$12.77,$12.77,Valid,https://www.homedepot.com/s/1005759067
1005959440,$169.00,$169.00,"GE 22 pt. Dehumidifier with Smart Dry for Bedroom, Basement or Damp Rooms up to 1500 sq. ft. in White, ENERGY STAR",1,$17.63,$17.63,Valid,https://www.homedepot.com/s/1005959440
